Item Name,Item Price (USD)
Strange Scattergun,9.25
Strange Scattergun,9.25
Strange Scattergun,9.25
Strange Scattergun,9.32
Strange Scattergun,9.67
Strange Scattergun,9.8
Strange Scattergun,9.8
Strange Scattergun,13.97
Strange Scattergun,14.0
Strange Scattergun,21.02
Strange Scattergun,23.0
Strange Scattergun,51.6
Strange Force-A-Nature,13.12
Strange Force-A-Nature,13.17
Strange Force-A-Nature,13.17
Strange Force-A-Nature,133.21
Strange Shortstop,23.83
Strange Shortstop,41.37
Strange Baby Face's Blaster,8.12
Strange Baby Face's Blaster,11.5
Strange Baby Face's Blaster,17.25
Strange Festive Force-A-Nature,29.09
Strange Flying Guillotine,29.68
Strange Bat,28.9
Strange Sandman,7.42
Strange Sandman,7.42
Strange Sandman,7.42
Strange Sandman,7.5
Strange Festive Holy Mackerel,46.84
Strange Rocket Launcher,7.59
Strange Rocket Launcher,12.57
Strange Rocket Launcher,13.96
Strange Rocket Launcher,20.38
Strange Rocket Launcher,26.3
Strange Rocket Launcher,28.34
Strange Rocket Launcher,39.65
Strange Rocket Launcher,103.44
Strange Black Box,8.25
Strange Black Box,8.25
Strange Black Box,8.4
Strange Black Box,8.69
Strange Black Box,17.45
Strange Black Box,31.06
Strange Black Box,117.85
Strange Liberty Launcher,6.99
Strange Liberty Launcher,6.99
Strange Liberty Launcher,12.26
Strange Liberty Launcher,82.76
Strange Cow Mangler 5000,58.15
Strange Beggar's Bazooka,19.98
Strange Beggar's Bazooka,38.09
Strange Air Strike,58.15
Strange Market Gardener,28.06
Strange Market Gardener,42.09
Strange Market Gardener,56.12
Strange Market Gardener,96.11
Strange Equalizer,17.32
Strange Flame Thrower,5.0
Strange Flame Thrower,5.59
Strange Flame Thrower,5.93
Strange Flame Thrower,5.99
Strange Flame Thrower,6.02
Strange Flame Thrower,6.02
Strange Flame Thrower,6.58
Strange Flame Thrower,6.58
Strange Flame Thrower,12.04
Strange Flame Thrower,17.04
Strange Flame Thrower,17.04
Strange Flame Thrower,39.27
Strange Flame Thrower,40.5
Strange Flame Thrower,102.08
Strange Flame Thrower,103.44
Strange Backburner,7.24
Strange Backburner,8.23
Strange Backburner,8.98
Strange Backburner,9.61
Strange Backburner,15.87
Strange Backburner,20.35
Strange Backburner,28.06
Strange Backburner,30.15
Strange Backburner,53.29
Strange Degreaser,5.29
Strange Degreaser,9.8
Strange Degreaser,45.42
Strange Degreaser,48.27
Strange Degreaser,103.44
Strange Rainblower,5.32
Strange Rainblower,5.32
Strange Rainblower,5.48
Strange Rainblower,20.96
Strange Rainblower,33.66
Strange Flare Gun,12.3
Strange Scorch Shot,49.57
Strange Fire Axe,21.02
Strange Axtinguisher,11.63
Strange Axtinguisher,12.14
Strange Axtinguisher,13.64
Strange Powerjack,19.62
Strange Back Scratcher,36.57
Strange Back Scratcher,38.57
Strange Back Scratcher,41.37
Strange Grenade Launcher,6.0
Strange Grenade Launcher,9.44
Strange Grenade Launcher,10.78
Strange Grenade Launcher,11.06
Strange Grenade Launcher,11.5
Strange Grenade Launcher,27.6
Strange Grenade Launcher,60.95
Strange Grenade Launcher,872.34
Strange Loch-n-Load,3.26
Strange Loch-n-Load,4.67
Strange Loch-n-Load,5.59
Strange Loch-n-Load,5.59
Strange Loch-n-Load,7.89
Strange Loch-n-Load,8.0
Strange Loch-n-Load,11.2
Strange Loch-n-Load,11.2
Strange Loch-n-Load,11.69
Strange Loch-n-Load,14.14
Strange Loch-n-Load,37.87
Strange Loch-n-Load,37.87
Strange Festive Grenade Launcher,164.35
Strange Stickybomb Launcher,5.67
Strange Stickybomb Launcher,6.45
Strange Stickybomb Launcher,6.45
Strange Stickybomb Launcher,6.45
Strange Stickybomb Launcher,27.11
Strange Stickybomb Launcher,27.11
Strange Festive Stickybomb Launcher,58.21
Strange Bottle,56.12
Strange Eyelander,21.02
Strange Scotsman's Skullcutter,29.04
Strange Persian Persuader,7.37
Strange Persian Persuader,7.47
Strange Persian Persuader,9.52
Strange Minigun,13.95
Strange Tomislav,28.06
Strange Tomislav,30.86
Strange Tomislav,35.07
Strange Tomislav,41.37
Strange Festive Minigun,137.93
Strange Eviction Notice,17.32
Strange Holiday Punch,100.05
Strange Frontier Justice,21.02
Strange Pomson 6000,193.1
Strange Rescue Ranger,9.33
Strange Rescue Ranger,13.3
Strange Wrench,23.46
Strange Wrench,31.71
Strange Southern Hospitality,8.68
Strange Southern Hospitality,10.35
Strange Southern Hospitality,10.71
Strange Southern Hospitality,15.95
Strange Southern Hospitality,26.76
Strange Southern Hospitality,29.99
Strange Festive Wrench,48.26
Strange Syringe Gun,35.24
Strange Syringe Gun,36.77
Strange Overdose,19.8
Strange Overdose,21.02
Strange Sniper Rifle,18.22
Strange Sydney Sleeper,275.86
Strange Bazaar Bargain,32.91
Strange Bazaar Bargain,52.23
Strange Hitman's Heatmaker,56.12
Strange Hitman's Heatmaker,70.15
Strange Hitman's Heatmaker,93.68
Strange SMG,18.22
Strange SMG,19.62
Strange Cleaner's Carbine,28.06
Strange Cleaner's Carbine,28.06
Strange Bushwacka,32.27
Strange Revolver,11.2
Strange Revolver,12.6
Strange Revolver,14.0
Strange Enforcer,11.33
Strange Enforcer,14.0
Strange Knife,9.52
Strange Knife,9.52
Strange Knife,9.52
Strange Knife,10.5
Strange Festive Knife,97.95
Strange Reserve Shooter,17.25
Strange Frying Pan,190.34
